building_id,bus_id
home_001,bus_3
home_002,bus_4
home_003,bus_5
home_004,bus_6
home_005,bus_7
home_006,bus_8
home_007,bus_3
home_008,bus_4
home_009,bus_5
home_010,bus_6
home_011,bus_7
home_012,bus_8
home_013,bus_3
home_014,bus_4
home_015,bus_5
home_016,bus_6
home_017,bus_7
home_018,bus_8
home_019,bus_3
home_020,bus_4
home_021,bus_5
home_022,bus_6
home_023,bus_7
home_024,bus_8
home_025,bus_3
home_026,bus_4
home_027,bus_5
home_028,bus_6
home_029,bus_7
home_030,bus_8
home_031,bus_3
home_032,bus_4
home_033,bus_5
home_034,bus_6
home_035,bus_7
home_036,bus_8
home_037,bus_3
home_038,bus_4
home_039,bus_5
home_040,bus_6
home_041,bus_7
home_042,bus_8
home_043,bus_3
home_044,bus_4
home_045,bus_5
home_046,bus_6
home_047,bus_7
home_048,bus_8
home_049,bus_3
home_050,bus_4
