building_id,building_type,vintage,floor_area_m2,num_stories,hvac_type,heating_setpoint_c,cooling_setpoint_c,envelope_level,occupancy_level,has_pv,pv_kw,has_battery,battery_kwh
home_001,single_family_detached,post_2000,224.8,1,electric_resistance,21.7,25.5,medium,high,True,4.83,False,0.0
home_002,multifamily_unit,1980_2000,205.2,2,heat_pump,19.7,25.5,low,medium,False,0.0,False,0.0
home_003,single_family_detached,post_2000,158.3,2,electric_resistance,20.2,24.4,medium,medium,False,0.0,False,0.0
home_004,multifamily_unit,pre_1980,200.2,1,gas_furnace_ac,20.6,24.2,low,high,False,0.0,False,0.0
home_005,multifamily_unit,1980_2000,74.5,2,heat_pump,20.1,24.7,medium,high,False,0.0,False,0.0
home_006,multifamily_unit,pre_1980,146.6,2,heat_pump,20.2,25.1,medium,high,False,0.0,False,0.0
home_007,townhouse,pre_1980,173.6,2,electric_resistance,21.9,25.1,high,low,False,0.0,False,0.0
home_008,multifamily_unit,1980_2000,95.6,1,electric_resistance,20.9,24.8,medium,high,False,0.0,False,0.0
home_009,multifamily_unit,1980_2000,168.7,2,gas_furnace_ac,21.1,26.2,medium,medium,True,2.42,True,17.48
home_010,single_family_detached,post_2000,242.9,2,heat_pump,21.8,24.0,medium,medium,True,4.58,False,0.0
home_011,townhouse,post_2000,189.5,2,heat_pump,19.9,26.7,low,medium,False,0.0,False,0.0
home_012,multifamily_unit,post_2000,116.6,1,heat_pump,21.5,24.9,low,high,False,0.0,False,0.0
home_013,townhouse,1980_2000,87.4,3,heat_pump,19.4,26.7,low,low,False,0.0,False,0.0
home_014,townhouse,pre_1980,179.8,2,electric_resistance,19.4,23.2,high,medium,False,0.0,False,0.0
home_015,multifamily_unit,1980_2000,97.9,1,gas_furnace_ac,20.7,26.1,medium,high,False,0.0,False,0.0
home_016,multifamily_unit,post_2000,110.1,2,electric_resistance,21.9,26.5,high,medium,False,0.0,False,0.0
home_017,single_family_detached,pre_1980,238.3,2,gas_furnace_ac,20.2,26.2,high,low,False,0.0,False,0.0
home_018,townhouse,pre_1980,79.2,2,gas_furnace_ac,20.1,26.1,low,low,True,4.57,True,9.92
home_019,townhouse,pre_1980,159.6,2,gas_furnace_ac,20.9,23.7,high,high,False,0.0,False,0.0
home_020,single_family_detached,1980_2000,152.6,1,gas_furnace_ac,21.1,25.2,low,low,False,0.0,False,0.0
home_021,multifamily_unit,pre_1980,186.7,1,heat_pump,21.6,25.6,medium,high,False,0.0,False,0.0
home_022,multifamily_unit,pre_1980,186.2,1,gas_furnace_ac,21.7,23.6,high,low,False,0.0,False,0.0
home_023,townhouse,pre_1980,139.0,2,heat_pump,19.5,24.9,medium,medium,True,4.27,False,0.0
home_024,townhouse,1980_2000,91.6,3,heat_pump,21.4,26.4,low,low,False,0.0,False,0.0
home_025,single_family_detached,post_2000,129.5,1,electric_resistance,20.1,23.6,high,high,False,0.0,False,0.0
home_026,multifamily_unit,pre_1980,89.7,2,heat_pump,20.7,25.3,low,high,False,0.0,False,0.0
home_027,townhouse,post_2000,170.0,2,heat_pump,19.3,24.7,low,high,False,0.0,False,0.0
home_028,single_family_detached,post_2000,214.4,1,gas_furnace_ac,19.9,25.4,low,medium,False,0.0,False,0.0
home_029,townhouse,pre_1980,144.1,2,heat_pump,21.9,23.2,low,low,True,3.17,True,6.41
home_030,multifamily_unit,1980_2000,126.7,1,gas_furnace_ac,20.9,25.9,low,medium,False,0.0,False,0.0
home_031,townhouse,post_2000,153.3,3,electric_resistance,21.1,26.4,high,medium,False,0.0,False,0.0
home_032,townhouse,pre_1980,202.4,2,electric_resistance,19.8,24.3,high,low,True,3.08,False,0.0
home_033,townhouse,post_2000,242.2,2,gas_furnace_ac,19.2,27.0,low,high,True,1.86,False,0.0
home_034,single_family_detached,post_2000,245.2,2,electric_resistance,20.3,23.5,medium,medium,True,3.64,True,16.65
home_035,multifamily_unit,post_2000,75.1,2,gas_furnace_ac,21.1,24.6,medium,low,True,2.6,True,5.25
